,0
0,1.370991242
1,1.370991242
2,1.370991242
3,1.370991242
4,1.370991242
5,1.370991242
6,1.370991242
7,1.370991242
8,2.122410538
9,4.246624427
10,7.377477874
11,10.67500736
12,15.06229997
13,28.25308968
14,47.68088587
15,66.530703
16,91.1473922
17,74.90584449
18,56.49422696
19,59.00147277
20,71.18114791
21,75.71480849
22,81.0814617
23,69.49811007
24,65.63156704
25,39.045305
26,21.43924096
27,22.54951885
28,26.35462092
29,29.31810073
30,103.7213436
31,108.1922197
32,71.31705179
33,65.33960622
34,42.76845135
35,31.70442825
36,35.99676901
37,59.4159021
38,42.31061545
39,28.4269743
40,37.09769382
41,34.61163455
42,34.16671727
43,31.72225595
44,48.61567723
45,43.77274489
46,31.08562634
47,19.00607051
48,8.127274591
49,1.370991242
50,1.370991242
51,1.370991242
52,1.370991242
53,1.370991242
54,1.370991242
55,1.370991242
56,1.370991242
57,1.370991242
58,1.370991242
59,1.370991242
60,1.370991242
61,1.370991242
62,1.370991242
63,1.370991242
64,1.370991242
65,1.370991242
66,1.370991242
67,1.370991242
68,1.370991242
69,1.370991242
70,1.370991242
71,1.370991242
72,1.370991242
73,1.370991242
74,1.370991242
75,1.370991242
76,1.370991242
77,1.370991242
78,1.370991242
79,1.370991242
80,1.370991242
81,1.370991242
82,1.370991242
83,1.370991242
84,1.370991242
85,1.370991242
86,1.370991242
87,1.370991242
88,1.370991242
89,1.370991242
90,1.370991242
91,1.370991242
92,1.370991242
93,1.370991242
94,1.370991242
95,1.370991242
